key,status,registry_price,live_price,drift,url,note
"tour-edge-hot-launch-c522-irons","BLOCKED","$349.99","","","https://www.amazon.com/dp/B07NTJ8G7Z?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"cobra-air-x-irons","BLOCKED","$419.99","","","https://www.amazon.com/dp/B0C59YXLGP?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"cobra-air-x-2-irons","OK","$498.78","$498.79","+0%","https://www.amazon.com/dp/B0CH1SRVMT?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl",""
"wilson-profile-sgi","BLOCKED","~$450","","","https://www.amazon.com/dp/B07HN4LLQN?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"callaway-strata","BLOCKED","~$481","","","https://www.amazon.com/dp/B07H2HQJR5?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"footjoy-weathersof-glove","NO_PRICE","~$22","","","https://www.amazon.com/FootJoy-Mens-WeatherSof-Glove-White/dp/B09HCM416D?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","no price in the buy box (variant-select pages land here too — eyeball before acting)"
"footjoy-raingrip","BLOCKED","~$28/pair","","","https://www.amazon.com/dp/B0DCVZZZKM?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"arccos-caddie-sensors","BLOCKED","~$249 + $99/yr","","","https://www.amazon.com/dp/B09YJ5H6BQ?th=1&linkCode=ll2&tag=cubicalgolfer-20&linkId=9cb14bd7f2b5cda6a4acf512ad239cda&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"rapsodo-mlm2pro","BLOCKED","~$699","","","https://www.amazon.com/dp/B0BTPZMCSF?th=1&linkCode=ll2&tag=cubicalgolfer-20&linkId=bd3e785885d6c86f1cd5da966b8e57e4&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"blast-motion-sensor","BLOCKED","~$99","","","https://www.amazon.com/Blast-Analyzes-Highlights-Compatible-Technology/dp/B00UNFHKUK?crid=KDAFPPZX2G4L&dib_tag=se&keywords=Blast%2BMotion%2BSensor&qid=1785682045&sprefix=blast%2Bmotion%2Bsensor%2Caps%2C194&sr=8-2&linkCode=ll2&tag=cubicalgolfer-20&linkId=011cf9ee23c0ab94060616e2f785acc2&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"swing-caddie-sc4-pro","OK","~$499","$499.97","+0%","https://www.amazon.com/dp/B0DK24YKBD?&linkCode=ll2&tag=cubicalgolfer-20&linkId=5c9ef5f218ddecbb1d865de38ae35fbb&language=en_US&ref_=as_li_ss_tl",""
"alignment-sticks","BLOCKED","~$12","","","https://www.amazon.com/GoSports-Golf-Alignment-Training-Sticks/dp/B0FD9QWW5N?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"frogger-amphibian-towel","BLOCKED","~$30","","","https://www.amazon.com/dp/B002KWC996?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"putting-mirror","BLOCKED","~$40","","","https://www.amazon.com/Eyeline-Golf-Putting-Alignment-Mirror/dp/B0BNXXC9GD?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"impact-tape","OK","~$12","$11.59","-3%","https://www.amazon.com/dp/B0DJP8VZT8?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl",""
"eyeline-putting-cup","BLOCKED","~$15","","","https://www.amazon.com/dp/B0017T92ZW?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"gustbuster-umbrella","BLOCKED","~$85","","","https://www.amazon.com/dp/B0009GGIY2?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"odyssey-white-hot-og","BLOCKED","~$199","","","https://www.amazon.com/dp/B0BP92GG7Z?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"cleveland-hb-soft-2","BLOCKED","$142.60","","","https://www.amazon.com/dp/B0CP9SPLK7?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"taylormade-spider-tour","BLOCKED","~$350","","","https://www.amazon.com/dp/B0D366DLTW?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"titleist-players-4","BLOCKED","~$279","","","https://www.amazon.com/dp/B0BX6XNNS8?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"titleist-pro-v1x","BLOCKED","~$58/dz","","","https://www.amazon.com/dp/B0DPN7DY4Y?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"footjoy-flex-xp","BLOCKED","~$120","","","https://www.amazon.com/FootJoy-Flex-XP-Black/dp/B0BV2WBRVP?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"footjoy-tour-alpha","BLOCKED","~$130","","","https://www.amazon.com/dp/B0CF65RTZW?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"garmin-approach-r10","BLOCKED","~$599","","","https://www.amazon.com/Garmin-Approach-R10-Portable-Launch/dp/B096B5JR5D?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"flightscope-mevo-gen2","BLOCKED","~$1,299","","","https://www.amazon.com/FlightScope-Mevo-Gen2-Parameters-Simulation/dp/B0G1ZRXTJ4?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"foresight-gcquad","BLOCKED","~$15,999","","","https://www.amazon.com/dp/B0GKQNGSTX?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"srixon-q-star-tour","BLOCKED","~$35/dz","","","https://www.amazon.com/Srixon-Q-Star-Tour-Golf-Balls/dp/B0CRZ9M7VT?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"callaway-chrome-soft","BLOCKED","$44.99/dz","","","https://www.amazon.com/dp/B0CJK2X7GK?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"taylormade-tour-response","BLOCKED","~$38/dz","","","https://www.amazon.com/dp/B0DG6PCC72?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"bridgestone-e12-contact","BLOCKED","$29.97/dz","","","https://www.amazon.com/dp/B08VSB9SXM?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"spornia-spg-net","BLOCKED","~$189","","","https://www.amazon.com/Spornia-Spg-7-Golf-Practice-Net/dp/B07NHJSG3R?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"fiberbuilt-studio-mat","BLOCKED","~$449","","","https://www.amazon.com/dp/B09M46XSL4?tag=cubicalgolfer-20","Amazon served a robot check — nothing learned, re-run later"
"benq-short-throw-projector","BLOCKED","~$949","","","https://www.amazon.com/dp/B076MHKTFH?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"garmin-approach-r50","BLOCKED","~$4,999","","","https://www.amazon.com/Garmin-Approach%C2%AE-Premium-Simulator-Touchscreen/dp/B0DM6NYRYN?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"resistance-bands-golf","BLOCKED","~$25","","","https://www.amazon.com/dp/B01AVDVHTI?th=1&linkCode=ll2&tag=cubicalgolfer-20&linkId=3c8e527ec9138ad1d9109fe705585ee0&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"putt-a-bout-putting-green","OK","~$45","$44.99","-0%","https://www.amazon.com/dp/B00BNFE764?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl",""
"wellputt-mat","BLOCKED","~$89","","","https://www.amazon.com/dp/B0789WHQY8?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"superspeed-golf-set","BLOCKED","~$140","","","https://www.amazon.com/dp/B073SZXD2Q?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"skechers-go-golf-elite-5","BLOCKED","~$108","","","https://www.amazon.com/dp/B0B4ZDD7Y2?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"ecco-biom-c4","BLOCKED","~$249","","","https://www.amazon.com/dp/B0DT1JB6WS?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"pxg-allan-putter","BLOCKED","~$349","","","https://www.amazon.com/dp/B0C2K9FC8R/?tag=cubicalgolfer-20","Amazon served a robot check — nothing learned, re-run later"
"lazrus-zero-torque","BLOCKED","~$207","","","https://www.amazon.com/dp/B0CB7Q2NFY/?tag=cubicalgolfer-20","Amazon served a robot check — nothing learned, re-run later"
"golf-pride-mcc-plus4","BLOCKED","~$13/grip","","","https://www.amazon.com/dp/B00SZFIXQ0?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"winn-dri-tac","BLOCKED","~$12/grip","","","https://www.amazon.com/dp/B00FEID2OE?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"superstroke-zenergy-tour","BLOCKED","$34.99/grip","","","https://www.amazon.com/dp/B0BXPZ3Z79?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"callaway-big-bertha-b21-irons","BLOCKED","~$799","","","https://www.amazon.com/dp/B08BWHRV88?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"callaway-big-bertha","BLOCKED","~$349","","","https://www.amazon.com/Callaway-Bertha-Graphite-Regular-Degrees/dp/B08BQDPPS9?crid=IJS2IOANMCC5&dib_tag=se&keywords=Callaway%2BBig%2BBertha%2BB21%2BDriver&qid=1785683140&sprefix=callaway%2Bbig%2Bbertha%2Bb21%2Bdriver%2Caps%2C328&sr=8-1&linkCode=ll2&tag=cubicalgolfer-20&linkId=2f05dd5820757ea6bcffff91881eaf33&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"cleveland-huntington-beach","BLOCKED","~$134","","","https://www.amazon.com/dp/B0CKX5K25H?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"cobra-ds-adapt-x-driver","BLOCKED","~$270","","","https://www.amazon.com/dp/B0DC7Y2JHW?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"odyssey-tri-hot-5k","BLOCKED","~$210","","","https://www.amazon.com/dp/B09KNW5YRZ?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"odyssey-two-ball-eleven","BLOCKED","~$300","","","https://www.amazon.com/dp/B0B1LTHZ12?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"orange-whip-trainer","BLOCKED","~$120","","","https://www.amazon.com/dp/B07HXTFD8D?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"ping-sigma-2","BLOCKED","~$179","","","https://www.amazon.com/dp/B08C4Q9ZJF/?tag=cubicalgolfer-20","Amazon served a robot check — nothing learned, re-run later"
"scotty-cameron-phantom-x","BLOCKED","~$500","","","https://www.amazon.com/dp/B0D8T6ZDWS?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"taylormade-spider-gt","BLOCKED","~$200","","","https://www.amazon.com/dp/B09LZCG2MJ?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"taylormade-noodle","BLOCKED","~$19/dz","","","https://www.amazon.com/dp/B09F5FN7DT?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"wilson-duo-soft-plus","BLOCKED","$24.97/dz","","","https://www.amazon.com/dp/B0DQ9R1YQF?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"titleist-trufeel","BLOCKED","~$25/dz","","","https://www.amazon.com/dp/B0FY3QKQ16?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"vice-drive","BLOCKED","~$20/dz","","","https://www.amazon.com/dp/B0D1W2VJSB?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"vice-pro-soft","BLOCKED","~$35/dz","","","https://www.amazon.com/dp/B08928QV8J?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"titleist-tour-soft","BLOCKED","~$40/dz","","","https://www.amazon.com/dp/B0FY3PD3VM?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"titleist-velocity","BLOCKED","~$25/dz","","","https://www.amazon.com/dp/B0FY3Q4B8W?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"callaway-warbird","BLOCKED","~$22/dz","","","https://www.amazon.com/dp/B0DHT6RVPZ?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"bridgestone-tour-b-rx","BLOCKED","~$40/dz","","","https://www.amazon.com/dp/B0CSC3H5NW?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"kirkland-signature","BLOCKED","~$28/2dz","","","https://www.amazon.com/Kirkland-Signature-Balls-3-Piece-Urethane/dp/B0C54GXFQ8?crid=3Q1JXH1PLNWPQ&dib_tag=se&keywords=Kirkland+Signature&qid=1785875018&sprefix=kirkland+signature%2Caps%2C202&sr=8-1&linkCode=ll2&tag=cubicalgolfer-20&linkId=0f56da124556c580ae93e0ca6d4d0169&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"titleist-avx","BLOCKED","~$50/dz","","","https://www.amazon.com/dp/B0FY3Q2DLN?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"srixon-z-star","BLOCKED","~$40/dz","","","https://www.amazon.com/dp/B0BV6P2MNG?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"bridgestone-tour-b-xs","BLOCKED","~$55/dz","","","https://www.amazon.com/dp/B0FNDQCW4N?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"vice-pro-plus","BLOCKED","~$33/dz","","","https://www.amazon.com/Vice-Plus-Golf-Balls-Dozen/dp/B08FFM64C6?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"taylormade-tp5x","BLOCKED","$44.75/dz","","","https://www.amazon.com/dp/B01N6TY9UA?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"bridgestone-tour-b-x","BLOCKED","$54.99/dz","","","https://www.amazon.com/dp/B0FNDM26LH?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"srixon-z-star-xv","BLOCKED","~$54/dz","","","https://www.amazon.com/dp/B0DSJP5GLF?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"wilson-chaos","BLOCKED","$24.95/2dz","","","https://www.amazon.com/dp/B0CQN3F2HW?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"pinnacle-rush","BLOCKED","~$18/dz","","","https://www.amazon.com/dp/B09V4FRPN6/?tag=cubicalgolfer-20","Amazon served a robot check — nothing learned, re-run later"
"pinemeadow-pgx","BLOCKED","~$67","","","https://www.amazon.com/dp/B0CYR7CY99?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"wilson-staff-infinite","BLOCKED","~$140","","","https://www.amazon.com/dp/B0CPT8TN5C?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"garmin-approach-s12","BLOCKED","~$199","","","https://www.amazon.com/Garmin-Approach-Preloaded-Courses-010-02472-00/dp/B08X1L2CDK?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"sklz-golf-grip-trainer","BLOCKED","~$18","","","https://www.amazon.com/dp/B015N2NX3A?&linkCode=ll2&tag=cubicalgolfer-20&linkId=b489f4543b205b5c27ef701b0697826c&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"voice-caddie-sc200plus","BLOCKED","$209.99","","","https://www.amazon.com/dp/B07R8JV36B?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"shot-scope-lm1","BLOCKED","~$199","","","https://www.amazon.com/Shot-Scope-Portable-Launch-Monitor/dp/B0GP22ZYY5?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"kvv-electric-golf-cart","BLOCKED","~$906","","","https://www.amazon.com/dp/B0DGTQQGGG?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"alphard-cybercart","BLOCKED","~$1,379","","","https://www.amazon.com/dp/B0F4Z1GYKC?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"kvv-push-cart","BLOCKED","~$161","","","https://www.amazon.com/dp/B08FJ5P32D?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"bag-boy-nitron","BLOCKED","~$320","","","https://www.amazon.com/dp/B0FM2W8M21?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"clicgear-model-45","BLOCKED","~$339","","","https://www.amazon.com/dp/B0GKDVW733?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"caddytek-ez-v8","BLOCKED","~$209","","","https://www.amazon.com/dp/B07DSXGLN5?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"fiberbuilt-flight-deck","BLOCKED","~$99","","","https://www.amazon.com/dp/B06Y5NX641?&linkCode=ll2&tag=cubicalgolfer-20&linkId=4d5e63f98b55edd2c8a1582bbc86ca49&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"country-club-elite-mat","BLOCKED","~$599","","","https://www.amazon.com/dp/B0048GP25U?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"homecourse-retractable-screen","BLOCKED","~$599","","","https://www.amazon.com/dp/B09WR1P9S3/?tag=cubicalgolfer-20","Amazon served a robot check — nothing learned, re-run later"
"optoma-zw350st","BLOCKED","~$909","","","https://www.amazon.com/Optoma-ZW350ST-Technology-Short-Throw-Projector/dp/B0D9HW1XVY?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"optoma-gt2000hdr","BLOCKED","~$1,199","","","https://www.amazon.com/Optoma-GT2000HDR-Compact-Theater-Projector/dp/B0C5BBCXRK?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"bag-boy-volt-electric","BLOCKED","~$1,395","","","https://www.amazon.com/dp/B0CSG3VJYG?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
